,path,algo,length,f1,roc_auc,retrain
0,/mnt/extra/continuous-training/results/1715800932305356174,nn_clf_js,40,"[0.9212051832258747, 0.916480472712358, 0.9207194116162168, 0.9120831600601816, 0.9186260771297104, 0.9125855006860084, 0.9080199992807966, 0.9033805818841292, 0.9100779981471704, 0.908566519868309, 0.9253594453271112, 0.8954186197339927, 0.8928236444490615, 0.8954858570767693, 0.9015071494780702, 0.8989018006532431, 0.9160426648688994, 0.90912004322446, 0.9089398541449284, 0.9027190899904096, 0.8975747453600245, 0.9237956000443176, 0.9235208211607184, 0.9214737285003012, 0.9219086593287724, 0.9160028107597812, 0.9212388886181654, 0.9081956549834758, 0.904923135609384, 0.9006865158508263, 0.9067139499490244]","[0.8144567334296791, 0.8097079640548548, 0.7764615222610212, 0.7807686204316413, 0.7775134115353914, 0.777779247015624, 0.7756139709857273, 0.7756005084595742, 0.7761252024117293, 0.7779971167356315, 0.7643064000716031, 0.6613507398151245, 0.651762608889479, 0.6447219779532525, 0.6434730277009764, 0.6356058363165351, 0.7911659703139138, 0.8046918787383542, 0.7914601721573741, 0.8418191413638816, 0.8373231183152644, 0.767707266879256, 0.7610703483107866, 0.7586108884430272, 0.7630235548719286, 0.7655910708421237, 0.8311654659709204, 0.8360381048495191, 0.8218906343854142, 0.8295496507427631, 0.7818489924845173]",11
1,/mnt/extra/continuous-training/results/1715797440000861620,nn_clf_labeler,40,"[0.919025359413844, 0.9142946583702416, 0.919067650245816, 0.9101000209399192, 0.9170600792924672, 0.9108541603907742, 0.9065924520414452, 0.9015114659812122, 0.908532864247261, 0.9070067556536816, 0.9240968608474756, 0.8954212443541585, 0.8930675683520055, 0.8956351009849526, 0.9017371116581308, 0.8989556696514223, 0.9116498698808616, 0.9064246562800125, 0.9066869851509192, 0.898389969795799, 0.8917540225867268, 0.9165484062376924, 0.916987956039873, 0.913612183283204, 0.9141473155426394, 0.9073836585368966, 0.9249099004573734, 0.9084581393380172, 0.8994428301229664, 0.8931594247257388, 0.9038624850711864]","[0.8097642421366046, 0.8050139019166476, 0.7733576959882762, 0.7771337528241321, 0.7749023714391978, 0.7746698151649032, 0.7729641804021525, 0.7720028756172745, 0.7728691519367001, 0.7748938005014627, 0.7623574879890398, 0.6630371071797581, 0.6540010705979731, 0.6461205646228863, 0.6460457717759569, 0.6371310957746712, 0.7667163614495479, 0.7782582040863525, 0.7881863473661422, 0.7847197824311875, 0.7853988013151849, 0.6653258998542022, 0.6564525361257498, 0.6529073840778181, 0.6593019493269057, 0.6672334459993954, 0.7757487813413955, 0.7830371935528477, 0.7869111117012365, 0.7823055368342432, 0.7851763879478885]",0
3,/mnt/extra/continuous-training/results/1715824045022882806,nn_clf_ph,35,"[0.920295832201752, 0.9078172109526736, 0.9186080215374942, 0.9050637985851044, 0.919348179688316, 0.9067593191665756, 0.9087923811138664, 0.906850062245032, 0.900286167705397, 0.8991730102649266, 0.9262862360191738, 0.9099590972943346, 0.9060888149382644, 0.9159111633912068, 0.9143602124330388, 0.9199771782146436, 0.9177576734271158, 0.9108556513935152, 0.9107915895825318, 0.9047679639357972, 0.899058240086161, 0.9241634544260566, 0.92865940032325, 0.9288228702424522, 0.9279250121980224, 0.9216973297559728, 0.9261720599842148, 0.8980399886122243, 0.9060362921559892, 0.9019313736102303, 0.908104551915586]","[0.8149322162238021, 0.7977812276089291, 0.8266218492915947, 0.8328233158326619, 0.8074024125808761, 0.8247110864709788, 0.8234495957230377, 0.7963871347282047, 0.8385919657432225, 0.8411466763279214, 0.7690721817845834, 0.8123004727441572, 0.8219986400553171, 0.7885205460053659, 0.820119885810493, 0.774706343561695, 0.8105472147686026, 0.8107761480932889, 0.8039328315784191, 0.8451435390298838, 0.8383276676202561, 0.7938317838765231, 0.7572511423330404, 0.7413675439389984, 0.7657887612929745, 0.7717500150161147, 0.7547329400324405, 0.847390941699239, 0.8268861584138102, 0.8311364447925539, 0.7852858263024064]",30
4,/mnt/extra/continuous-training/results/1715788174518859352,nn_clf_quartile,40,"[0.9209631112324224, 0.9162306349727704, 0.9206074654019546, 0.9121276245774198, 0.9189359560085804, 0.912928628990626, 0.9087381179888728, 0.9038443365353722, 0.9104503381452508, 0.9090232553298478, 0.925546168532004, 0.894699455751747, 0.8923479512503009, 0.894926559946424, 0.9008069481386284, 0.8981847770722948, 0.9132210744024952, 0.908641888381014, 0.9088912924680824, 0.900916251499216, 0.8945910347436202, 0.9153370937105058, 0.9157501980289106, 0.9124282952284952, 0.9133176638910554, 0.9065291405535396, 0.926250644662197, 0.910865440672766, 0.902161630425534, 0.8961911562166701, 0.9062316955328464]","[0.8168314277712315, 0.8124214967936576, 0.7822295331462862, 0.7867440312645326, 0.7839777948815272, 0.7838091024556935, 0.7814322686045969, 0.7810489041310711, 0.7814347416994124, 0.7836054771844789, 0.7706441365253986, 0.6657402710125024, 0.6562393886576973, 0.6493673407429439, 0.6476500225288575, 0.6395748543120028, 0.7750880008867966, 0.7871109451304141, 0.7970565442928687, 0.7939825997942297, 0.7943923917080629, 0.6697130533605082, 0.6594653804313924, 0.6556745978656544, 0.6626901705582695, 0.6705431505786565, 0.7847173161987897, 0.7930365921187517, 0.7966135981842217, 0.792169686006571, 0.7944908896379244]",0
5,/mnt/extra/continuous-training/results/1715798673120208944,nn_clf_psi,40,"[0.92051441358165, 0.9159079424049568, 0.9202597956716524, 0.9115240791003192, 0.9181410090366598, 0.9122569590854634, 0.908063694709265, 0.903235498810725, 0.9098045425753324, 0.9084016293675652, 0.924931843401939, 0.8953896744832931, 0.8929212307398079, 0.8953295170677251, 0.9014700577726984, 0.8986756667522653, 0.9125828250521524, 0.9078407373209518, 0.9079140786639796, 0.9001061958101186, 0.8937806965530357, 0.9161097718452595, 0.9162335440223112, 0.9128614896812276, 0.9138124028533774, 0.9070266886410384, 0.9257629116383864, 0.9102440627958752, 0.901255251310873, 0.8950593459649959, 0.9053586074295464]","[0.8150323115432546, 0.8106551472623411, 0.7789749066239586, 0.7831445378779268, 0.7796282194791817, 0.7802344543456408, 0.7781802590172595, 0.7779998549497369, 0.7778493045807213, 0.7799823147285926, 0.766720788950139, 0.6645975003644887, 0.654955592074188, 0.647544816225938, 0.6464145645330954, 0.6378569512456996, 0.7707270631625677, 0.7833754303703115, 0.7929116469140814, 0.7902499601313251, 0.7911885850298044, 0.6652841627281082, 0.6568027786122823, 0.6528677808060432, 0.6602178983684595, 0.6683492726329465, 0.7806872133552658, 0.7899741103622042, 0.7927461470727484, 0.7881319001884083, 0.7904512927217984]",0
7,/mnt/extra/continuous-training/results/1715784179206269278,nn_clf_ip_based,40,"[0.9200075657272556, 0.9151635849507276, 0.9148649865375056, 0.9052859347263634, 0.9183402123882412, 0.9060837691654374, 0.9086664078766278, 0.9069234631520764, 0.9020704996821072, 0.8976286758036744, 0.9254809337988636, 0.9113643566966878, 0.9080928356273662, 0.916616289329694, 0.9152440973065564, 0.9202449685325466, 0.9180509976903388, 0.911369134780671, 0.9105046142874528, 0.9052682440696392, 0.8991596770277784, 0.9246994490203588, 0.9298788893265064, 0.9291803484626956, 0.9291326839953844, 0.9214736626711896, 0.925916113197464, 0.9001035234369198, 0.9063260619801394, 0.9021757604036944, 0.9080946617360892]","[0.8121293906859004, 0.8074535759712123, 0.8243104843836184, 0.8270292922344893, 0.7988552403061995, 0.8202507179975946, 0.822086388073523, 0.791648637781875, 0.8392207982932349, 0.8399899094948633, 0.7665832118009182, 0.8091537085408164, 0.8197052289949803, 0.7862537913833001, 0.8208838685856603, 0.7725940953004697, 0.8069567597813192, 0.8107647571882158, 0.7997289334805276, 0.8432069847210465, 0.838925544932274, 0.7936075152289985, 0.7574347563050294, 0.7396746713335463, 0.76377783866691, 0.7686475069371147, 0.7539179122278606, 0.8482849141609344, 0.8267514088358885, 0.8308680523489695, 0.785439411868283]",30
9,/mnt/extra/continuous-training/results/1715797482983971494,nn_clf_kl,40,"[0.9211018041644684, 0.9083253704391042, 0.9189831645380592, 0.90646583703936, 0.9193804158747044, 0.9076477564653276, 0.9098637206540734, 0.907257973500666, 0.8999637704932063, 0.8985114529885937, 0.9263118702759991, 0.9112235898184924, 0.9075877170782908, 0.9162207903193168, 0.9132166463799825, 0.9200918429003022, 0.9183491359153564, 0.9110337866553336, 0.9114306246325232, 0.9065867741387524, 0.8995273626774739, 0.924875292326498, 0.9292264069530912, 0.929003434585072, 0.9284088474229708, 0.921129838118713, 0.926196514813455, 0.9005703008228004, 0.9067218276453668, 0.9025508059731012, 0.9083571067625268]","[0.818552485713337, 0.7978138519567903, 0.8226114744679903, 0.8307786337588098, 0.8033139618880862, 0.8234455862744042, 0.8207587545091566, 0.7954598672593227, 0.8383809040536303, 0.8404772309391937, 0.7703472904737915, 0.810731592870461, 0.8167189330939646, 0.7883138351573309, 0.8227719986056352, 0.7714156367521577, 0.8110685154747517, 0.8115222911775111, 0.8054537831207281, 0.8415669711356192, 0.8396525474538301, 0.7946920281453723, 0.7587790507753758, 0.741551317489786, 0.7647948555031211, 0.7721555728571203, 0.7581445757335218, 0.845489338223195, 0.8261828544607911, 0.8315621606940977, 0.7854975462574272]",35
10,/mnt/extra/continuous-training/results/1715831605658106103,nn_clf_ks,40,"[0.9196600263459394, 0.9080157445265884, 0.91769411672095, 0.9043048266944684, 0.91920570781483, 0.9078147968052224, 0.9094552962353614, 0.9069493256329896, 0.9015423275642492, 0.8980242005788612, 0.9258532077645758, 0.9112362691781948, 0.907268297634758, 0.9163288593971314, 0.91393790284345, 0.919991506426884, 0.9177006443101422, 0.9116246008254028, 0.911364782832949, 0.9054541341477208, 0.8996097718268721, 0.925144523431401, 0.9292347339267466, 0.9292429226087572, 0.9284112078470136, 0.9218047294356594, 0.926378747443001, 0.902556860520806, 0.9067091997069991, 0.9022984334828562, 0.9071229849713136]","[0.8122190307244015, 0.796473260362244, 0.8266728992019373, 0.8299361867313776, 0.8003600744887291, 0.824107025096789, 0.8202990168749289, 0.7932972048817237, 0.8386888284366237, 0.8403041203619237, 0.7672899147647121, 0.8111734860125748, 0.819611782487853, 0.7858803772324207, 0.8214678045658101, 0.7687243115788496, 0.8107284958718831, 0.8110861296518366, 0.802900739280979, 0.8424631106173845, 0.8391513540357696, 0.7894938725360574, 0.7609792426958312, 0.7364646945262359, 0.7677627230521746, 0.7721271593527039, 0.7573911895642889, 0.8460294378128941, 0.8270600870618087, 0.8305736451412908, 0.7786836205781453]",35
11,/mnt/extra/continuous-training/results/1715787184529834842,nn_clf_outlier,40,"[0.919744230434662, 0.9149322180294932, 0.919235832503046, 0.9103698933725912, 0.9171586895627818, 0.9110097349572496, 0.9065702426395672, 0.9017261732719986, 0.9085188484804664, 0.9068556445252988, 0.9239025529043664, 0.892065254718707, 0.8892449354770455, 0.8922182725796329, 0.8983493549971451, 0.8955374147186226, 0.9112939865172608, 0.9067786381988, 0.9069966140757808, 0.8986705628313914, 0.8921368546972709, 0.9137199434229136, 0.913954786409344, 0.9103236410377152, 0.9110469013931948, 0.9039687906635148, 0.9248506652960996, 0.90927510969078, 0.9001076394301791, 0.8937664696312807, 0.904377859241979]","[0.811314294660065, 0.8061061904357527, 0.7715492272344511, 0.776062982883736, 0.7727744950767117, 0.7734676524374473, 0.7716676335612814, 0.7716240600957244, 0.7715930554931039, 0.7730221327858389, 0.7597569228653285, 0.642787625850541, 0.6325867691995625, 0.6259331219567431, 0.6238307598535434, 0.6156077627659815, 0.7641166546712193, 0.7781443830350058, 0.7880530902670995, 0.7849777872229902, 0.7857697572137889, 0.6412636101008067, 0.6313772535307649, 0.6274605579280927, 0.6346414277178332, 0.6439194415075102, 0.7734572816752648, 0.7846564647873977, 0.7877884103321554, 0.7828898509744204, 0.7850318902354034]",0
12,/mnt/extra/continuous-training/results/1715824912969658937,nn_clf_noretrain,40,"[0.920321145352751, 0.9157556677346482, 0.9200869411581956, 0.9112124727480876, 0.9180307216618416, 0.9120721678969942, 0.908010928046588, 0.9030173830695868, 0.9099140020993292, 0.9084118346888226, 0.9250474985071896, 0.8958491999344054, 0.8929389323374634, 0.8953662001778327, 0.9015377807925382, 0.8986674244933084, 0.9125224539123332, 0.907829800149938, 0.908097976618991, 0.9002463514940814, 0.8936232476958198, 0.9163405595744044, 0.9166994298023012, 0.9133260692497928, 0.914211919903544, 0.9075463309562076, 0.925517389169364, 0.9097577225800272, 0.9008967527358558, 0.8948710627991594, 0.905386862636152]","[0.8147857454557872, 0.8105663342623017, 0.7792969915735084, 0.7829393367119218, 0.7808482031825942, 0.7808024012495517, 0.7795076722905079, 0.7785728708678454, 0.7792718899744728, 0.7816875741321596, 0.7687828393428288, 0.6658271027908615, 0.6553587444057782, 0.6467196323041917, 0.6467879499482686, 0.6371220410870666, 0.7715571066396832, 0.7844496143702019, 0.793845703296699, 0.7911282929868175, 0.7916714171414325, 0.6642516797674582, 0.6564905660531515, 0.6533263871771355, 0.6613903029487681, 0.6696467842228528, 0.7808319510945377, 0.7889408107258866, 0.7926775008079465, 0.7882328359682235, 0.7910501687188052]",0
13,/mnt/extra/continuous-training/results/zoo,model_zoo,40,"[0.9996689704982497, 0.8932194347493524, 0.8928637233364042, 0.8899902558986614, 0.9037468907409484, 0.8923677135925513, 0.894563530469542, 0.9030128468671914, 0.8997965431251633, 0.8931433635332843, 0.8900674221434771, 0.9034857934777432, 0.8937938519769374, 0.8945783132530121, 0.8880027114586609, 0.8885678444888712, 0.8824657360611835, 0.8818877309535899, 0.8816014793497521, 0.8917531108778854, 0.8833541564278228, 0.887421040733008, 0.8843357457782215, 0.8998599366518466, 0.9026335719346248, 0.8879147378960713, 0.8875058237134216, 0.895900415756813, 0.886764918592012, 0.9027540880539756, 0.8845993063371385]","[0.999621477650904, 0.8020791290791536, 0.7998767503067503, 0.7995476843765938, 0.8017675080828703, 0.762080878049304, 0.7780803866864373, 0.7809052563583464, 0.7813454333828738, 0.7816924209567234, 0.780323049019595, 0.781921425028933, 0.78018436065931, 0.7790392071409918, 0.7799990654262722, 0.7787315778017546, 0.7795493979556218, 0.7813583705507908, 0.7862686774949111, 0.7880076522030903, 0.7834997643603114, 0.7854201707070787, 0.7878795192588187, 0.7852109699219993, 0.7742770897841869, 0.7347191822616966, 0.7668291997346557, 0.7750370350690458, 0.7784454120195612, 0.7775688776685907, 0.7770257777257745]",6